run_id,input_vcf_MB,nq_MB,gzip_MB,hdt_MB,brotli_MB,triples_M,java_wall_s,gzip_wall_s,hdt_wall_s,brotli_wall_s,java_user_s,gzip_user_s,hdt_user_s,brotli_user_s,java_system_s,gzip_system_s,hdt_system_s,brotli_system_s,java_max_rss_GB,gzip_max_rss_GB,hdt_max_rss_GB,brotli_max_rss_GB
0GOOR_HG002,387.847,5450.318,244.646,283.179,203.568,48.988,180.74,35.86,161.77,75.17,828.77,35.16,304.91,74.31,120.64,0.68,4.15,0.83,1.896,0.002,5.993,0.048
60820188475559.filtered.snp,1233.013,2991.755,134.913,154.028,113.201,26.998,96.08,21.12,86.94,41.08,457.27,20.74,132.41,40.59,66.51,0.37,3.08,0.47,1.916,0.002,5.599,0.052
PG0000566-BLD.snps,1354.792,2646.87,125.528,148.611,114.636,22.984,91.59,20.48,86.11,42.25,428.24,20.14,158.72,41.8,57.78,0.33,3.2,0.43,1.702,0.002,5.725,0.048
PG0001199-BLD.SNPs,985.492,2798.996,137.219,156.68,119.526,24.212,95.1,19.31,89.68,46.7,439.29,18.94,160.66,46.24,61.05,0.35,3.32,0.46,1.938,0.002,6.002,0.048
PG0001202-BLD.Genotyping,156.447,1918.387,85.447,104.245,78.249,16.742,65.02,14.17,60.37,29.79,295.71,13.93,92.67,29.48,41.47,0.23,2.77,0.3,2.042,0.002,5.666,0.048
bsr6402.combined,1487.1,3853.605,201.437,223.607,179.421,34.286,124.83,28.74,128.96,66.32,610.28,28.23,263.44,65.69,83.5,0.48,3.78,0.61,1.921,0.002,5.841,0.048
